Modelo,AUC Train,AUC Test,Accuracy,Precision,Recall,F1-Score
Naive Bayes,0.738434022031065,0.7261032950972478,0.6204464199439559,0.3540651199064145,0.7470176881941588,0.4804232804232804
Logistic Regression,0.7836387176774933,0.7721908197444207,0.684220697651947,0.4051235547494899,0.735088440970794,0.5223618824904999
Linear SVC,0.7832236466516078,0.772191131454463,0.6752343221567301,0.3975770925110132,0.7424928013163308,0.5178597044900302
SVM (RBF Kernel),0.869203441997766,0.8194889742443344,0.7776596772635037,0.5196374622356495,0.7075277663512958,0.5991987458630901
